# Constructed from biom file
#OTU ID	SRR5699025	SRR5699026	SRR5699027	SRR5699028	SRR5699029	SRR5699030	SRR5699031	SRR5699032	SRR5699033	SRR5699034	SRR5699035	SRR5699036	SRR5699037	SRR5699038	SRR5699039	SRR5699040	SRR5699041	SRR5699042	SRR5699043	SRR5699044	SRR5699045	SRR5699046	SRR5699047	SRR5699048	SRR5699049	SRR5699050	SRR5699051	SRR5699052	SRR5699053	SRR5699054	SRR5699055	SRR5699056	SRR5699057	SRR5699058	SRR5699059	SRR5699060	SRR5699061	SRR5699062	SRR5699063	SRR5699064	SRR5699065	SRR5699066	SRR5699067	SRR5699068	SRR5699069	SRR5699070	SRR5699071	SRR5699072	SRR5699073	SRR5699074	SRR5699075	SRR5699076	SRR5699077	SRR5699078	SRR5699079	SRR5699080	SRR5699081	SRR5699082	SRR5699083	SRR5699084	SRR5699085	SRR5699086	SRR5699087	SRR5699088	SRR5699089	SRR5699090	SRR5699091	SRR5699092	SRR5699093	SRR5699094	SRR5699095	SRR5699096	SRR5699097	SRR5699098	SRR5699099	SRR5699100	SRR5699101	SRR5699102	SRR5699103	SRR5699104	SRR5699105	SRR5699106	SRR5699107	SRR5699108	SRR5699109	SRR5699110	SRR5699111	SRR5699112	SRR5699113	SRR5699114	SRR5699115	SRR5699116	SRR5699117	SRR5699118	SRR5699119	SRR5699120
c9767c10aab8180893aebd5273e41dd9	725.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	0.0	103.0	554.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	467.0	0.0	0.0	325.0	0.0	1305.0	0.0	1738.0	0.0	0.0	0.0	0.0	1014.0	25.0	387.0	1874.0	3545.0	1684.0	492.0	0.0	0.0	0.0	0.0	0.0	61.0	1324.0	0.0	0.0	0.0	47.0	151.0	0.0	661.0	1300.0	0.0	428.0	0.0	617.0	652.0	2524.0	368.0	2616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0	0.0	0.0	844.0	409.0	189.0	247.0	51.0	70.0	0.0	1104.0	0.0	0.0	0.0	0.0	553.0	0.0
899416110e98dc16818954e4c331af4e	65.0	73.0	23.0	0.0	122.0	850.0	0.0	338.0	16.0	0.0	661.0	18.0	437.0	76.0	3240.0	51.0	19.0	763.0	809.0	346.0	333.0	280.0	10.0	298.0	0.0	18.0	16.0	0.0	79.0	240.0	26.0	350.0	19.0	22.0	0.0	45.0	2326.0	9.0	0.0	37.0	60.0	52.0	8.0	80.0	382.0	15.0	30.0	34.0	0.0	4123.0	0.0	7.0	42.0	355.0	0.0	9.0	759.0	0.0	46.0	10.0	9.0	14.0	0.0	22.0	15.0	17.0	4187.0	16.0	36.0	742.0	4.0	102.0	25.0	0.0	120.0	22.0	0.0	93.0	184.0	27.0	294.0	44.0	9.0	20.0	1495.0	0.0	0.0	0.0	89.0	33.0	1758.0	5.0	9.0	87.0	315.0	8.0
6c3036c8dbc5e8048f5ea918db5a3ee2	0.0	0.0	0.0	0.0	26.0	1204.0	89.0	501.0	0.0	0.0	123.0	16.0	520.0	2805.0	0.0	76.0	809.0	405.0	1015.0	635.0	477.0	2595.0	86.0	140.0	0.0	0.0	0.0	1308.0	0.0	0.0	51.0	314.0	471.0	0.0	0.0	32.0	0.0	25.0	194.0	114.0	0.0	0.0	620.0	511.0	0.0	597.0	241.0	145.0	0.0	0.0	14.0	653.0	0.0	0.0	351.0	1006.0	25.0	0.0	397.0	1011.0	0.0	0.0	347.0	685.0	37.0	977.0	112.0	19.0	205.0	476.0	39.0	0.0	1197.0	0.0	0.0	521.0	70.0	0.0	0.0	0.0	585.0	1150.0	10.0	48.0	780.0	64.0	54.0	0.0	268.0	40.0	0.0	185.0	0.0	0.0	0.0	207.0
30416231bc07cd950b1118175452a1dd	0.0	0.0	0.0	0.0	104.0	2818.0	163.0	0.0	0.0	0.0	53.0	615.0	0.0	0.0	0.0	0.0	634.0	0.0	0.0	0.0	0.0	0.0	0.0	465.0	0.0	2219.0	176.0	0.0	251.0	695.0	0.0	0.0	0.0	0.0	0.0	432.0	16.0	0.0	127.0	42.0	239.0	0.0	0.0	786.0	1593.0	665.0	0.0	0.0	160.0	0.0	137.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	189.0	2441.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	803.0	4463.0	112.0	187.0	2055.0	0.0	821.0	220.0	0.0	0.0	0.0	330.0	0.0	0.0	68.0	228.0	0.0	0.0	0.0	49.0	0.0	81.0	0.0	1385.0	0.0	0.0	1301.0	0.0
05c859d2f81e03f947a04f36b3b7744e	25.0	0.0	0.0	0.0	0.0	660.0	11.0	0.0	0.0	0.0	26.0	0.0	73.0	0.0	0.0	0.0	0.0	320.0	0.0	278.0	774.0	0.0	0.0	1015.0	0.0	0.0	458.0	523.0	2555.0	0.0	0.0	0.0	0.0	932.0	0.0	1123.0	0.0	663.0	358.0	268.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	427.0	7.0	0.0	0.0	109.0	0.0	1023.0	447.0	17.0	1444.0	934.0	335.0	115.0	0.0	0.0	650.0	854.0	0.0	0.0	0.0	4663.0	0.0	272.0	0.0	0.0	2499.0	466.0	66.0	0.0	0.0	0.0	0.0	0.0	799.0	0.0	0.0	257.0	117.0	23.0	61.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0
b712985dfeaa12c638bd6584a845d568	45.0	229.0	0.0	30.0	0.0	218.0	5.0	0.0	0.0	0.0	300.0	420.0	151.0	149.0	0.0	88.0	25.0	19.0	0.0	254.0	163.0	185.0	0.0	134.0	0.0	81.0	798.0	114.0	84.0	283.0	16.0	0.0	708.0	268.0	0.0	729.0	40.0	0.0	122.0	77.0	0.0	0.0	0.0	80.0	763.0	51.0	595.0	187.0	108.0	0.0	0.0	304.0	378.0	35.0	8.0	433.0	0.0	692.0	80.0	12.0	0.0	48.0	61.0	1069.0	278.0	278.0	217.0	0.0	0.0	0.0	12.0	65.0	816.0	0.0	2349.0	20.0	12.0	2182.0	504.0	354.0	1027.0	369.0	0.0	291.0	332.0	52.0	30.0	0.0	326.0	218.0	2592.0	105.0	112.0	0.0	744.0	53.0
0cfd5ceacea8ec19aa43785e010d7e4d	501.0	0.0	0.0	0.0	237.0	0.0	91.0	0.0	30.0	0.0	255.0	3603.0	0.0	0.0	95.0	1583.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	1014.0	0.0	196.0	0.0	973.0	0.0	1207.0	0.0	0.0	67.0	0.0	88.0	538.0	895.0	514.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	779.0	0.0	0.0	0.0	74.0	54.0	0.0	494.0	59.0	0.0	423.0	0.0	803.0	246.0	368.0	3076.0	775.0	0.0	60.0	0.0	62.0	223.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	208.0	929.0	39.0	131.0	45.0	0.0	0.0	676.0	0.0	0.0	0.0	0.0	371.0	0.0
2c87485738e9e9ccb1d0a0885f5036ca	129.0	112.0	0.0	0.0	337.0	0.0	0.0	0.0	154.0	0.0	542.0	82.0	131.0	799.0	401.0	358.0	237.0	569.0	0.0	199.0	0.0	1335.0	0.0	805.0	0.0	0.0	1540.0	37.0	1259.0	184.0	73.0	0.0	87.0	0.0	0.0	0.0	0.0	284.0	487.0	321.0	1347.0	196.0	0.0	476.0	0.0	1176.0	0.0	998.0	0.0	0.0	140.0	315.0	0.0	171.0	79.0	12.0	222.0	0.0	0.0	0.0	208.0	125.0	0.0	15.0	664.0	541.0	139.0	414.0	0.0	0.0	0.0	213.0	686.0	0.0	0.0	960.0	96.0	0.0	0.0	1475.0	0.0	0.0	207.0	315.0	131.0	0.0	0.0	0.0	214.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0
e9a01565c7b45b3d757908d92940d46d	30.0	0.0	0.0	0.0	29.0	193.0	0.0	106.0	448.0	0.0	326.0	292.0	491.0	0.0	618.0	88.0	0.0	407.0	413.0	103.0	385.0	0.0	366.0	172.0	0.0	0.0	179.0	0.0	0.0	0.0	20.0	0.0	0.0	855.0	0.0	211.0	0.0	176.0	129.0	113.0	141.0	168.0	219.0	130.0	874.0	0.0	312.0	0.0	47.0	0.0	0.0	0.0	355.0	29.0	182.0	585.0	210.0	128.0	812.0	78.0	0.0	0.0	0.0	0.0	50.0	88.0	736.0	0.0	197.0	1189.0	0.0	265.0	684.0	0.0	760.0	38.0	25.0	0.0	0.0	225.0	0.0	133.0	24.0	477.0	264.0	37.0	155.0	36.0	280.0	361.0	974.0	24.0	85.0	0.0	699.0	0.0
6a5dca5aa378b146d11cb8c15c0f3eae	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	890.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	690.0	0.0	0.0	0.0	218.0	0.0	6835.0	0.0	0.0	0.0	0.0	0.0	0.0	474.0	199.0	0.0	0.0	0.0	254.0	0.0	0.0	0.0	63.0	0.0	4135.0	0.0	232.0	0.0	75.0	0.0	0.0	68.0	408.0	0.0	0.0	0.0	0.0	0.0	494.0	0.0	0.0	0.0	854.0	143.0	0.0	12.0	0.0	0.0	0.0	247.0	269.0	24.0	0.0	0.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	0.0	0.0	0.0
d6bec6f0eb45c904b00878eb60558b26	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	94.0	0.0	0.0	0.0	0.0	0.0	1028.0	0.0	330.0	16.0	0.0	0.0	25.0	0.0	1028.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	2128.0	403.0	1693.0	259.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	537.0	374.0	0.0	4.0	0.0	0.0	244.0	0.0	0.0	2.0	0.0	25.0	1032.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	6174.0	437.0	0.0	5.0	0.0	0.0	0.0
84b73b418b0e82a9dcb7a5c6a4b01a19	525.0	386.0	1564.0	0.0	317.0	201.0	0.0	34.0	275.0	0.0	86.0	195.0	72.0	223.0	0.0	348.0	79.0	145.0	0.0	51.0	0.0	1513.0	135.0	76.0	0.0	234.0	43.0	260.0	158.0	144.0	103.0	15.0	281.0	177.0	0.0	197.0	238.0	69.0	44.0	275.0	868.0	77.0	0.0	76.0	0.0	145.0	16.0	37.0	18.0	55.0	141.0	91.0	214.0	65.0	37.0	105.0	158.0	0.0	228.0	51.0	259.0	155.0	8.0	268.0	53.0	207.0	39.0	143.0	93.0	32.0	0.0	443.0	304.0	0.0	508.0	98.0	76.0	0.0	270.0	96.0	66.0	96.0	120.0	179.0	216.0	37.0	161.0	91.0	644.0	204.0	0.0	0.0	48.0	0.0	105.0	116.0
9094accc2bbc6457c3a5697f450e40b4	976.0	0.0	0.0	0.0	8675.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	229.0	0.0	32.0	0.0	14.0	447.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	672.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	106.0	87.0	141.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	520.0	0.0	46.0	354.0	0.0	0.0	28.0	328.0	243.0	0.0	0.0	0.0	0.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.0	0.0	75.0	0.0	0.0	0.0	0.0	336.0	0.0	773.0	504.0	0.0	0.0	0.0	0.0	0.0	0.0
e19bbb617309093ff296b5df5ac2aeff	0.0	727.0	1533.0	0.0	0.0	442.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	174.0	135.0	0.0	11.0	63.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	608.0	61.0	123.0	0.0	7.0	882.0	0.0	27.0	85.0	0.0	0.0	650.0	0.0	16.0	8.0	19.0	3.0	51.0	498.0	0.0	0.0	38.0	181.0	0.0	109.0	0.0	686.0	164.0	0.0	0.0	137.0	0.0	19.0	9.0	0.0	0.0	6.0	0.0	0.0	0.0	1221.0	381.0	3830.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	16.0	460.0	0.0	163.0	61.0	0.0	8.0	120.0	14.0	49.0	0.0	1063.0	0.0	0.0	8.0	379.0
3fe05a1289995a6ba2e7b113347e48ca	249.0	360.0	455.0	0.0	193.0	246.0	0.0	58.0	0.0	0.0	92.0	377.0	529.0	37.0	121.0	436.0	203.0	90.0	0.0	748.0	0.0	573.0	0.0	82.0	0.0	2992.0	113.0	98.0	0.0	152.0	174.0	0.0	127.0	535.0	0.0	0.0	0.0	172.0	94.0	103.0	64.0	0.0	0.0	41.0	0.0	41.0	0.0	39.0	37.0	0.0	31.0	153.0	0.0	116.0	41.0	803.0	43.0	124.0	0.0	261.0	200.0	0.0	655.0	72.0	271.0	136.0	0.0	0.0	149.0	83.0	23.0	0.0	212.0	0.0	0.0	0.0	139.0	0.0	301.0	56.0	30.0	176.0	30.0	0.0	0.0	61.0	537.0	0.0	332.0	92.0	120.0	245.0	143.0	0.0	0.0	0.0
68e76ff076875cf9a141e28884fe1fb5	0.0	1097.0	0.0	0.0	0.0	161.0	43.0	0.0	0.0	0.0	407.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	628.0	97.0	0.0	854.0	0.0	0.0	155.0	0.0	0.0	431.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	373.0	634.0	17.0	0.0	0.0	0.0	0.0	46.0	0.0	80.0	415.0	0.0	0.0	0.0	109.0	373.0	0.0	12.0	32.0	0.0	0.0	491.0	473.0	0.0	213.0	483.0	0.0	0.0	535.0	0.0	69.0	254.0	0.0	1344.0	0.0	0.0	864.0	0.0	289.0	0.0	0.0	167.0	0.0	0.0	0.0	386.0	2747.0	299.0	0.0	0.0	0.0	0.0
d101efe4ccfca441fdc1a223224d4232	39.0	0.0	0.0	0.0	146.0	37.0	0.0	51.0	53.0	0.0	391.0	0.0	48.0	0.0	345.0	330.0	242.0	461.0	0.0	146.0	148.0	18.0	0.0	0.0	0.0	253.0	60.0	86.0	376.0	172.0	24.0	0.0	247.0	104.0	0.0	142.0	67.0	0.0	373.0	205.0	472.0	11.0	0.0	63.0	0.0	302.0	109.0	0.0	125.0	716.0	0.0	0.0	0.0	89.0	0.0	108.0	203.0	310.0	239.0	107.0	19.0	0.0	331.0	603.0	12.0	48.0	89.0	321.0	358.0	402.0	0.0	0.0	1874.0	0.0	43.0	530.0	0.0	682.0	93.0	511.0	137.0	209.0	33.0	67.0	0.0	0.0	8.0	111.0	114.0	207.0	170.0	0.0	266.0	0.0	0.0	0.0
43a1d142aa29e00bf4f869ba74c6f08b	0.0	0.0	0.0	5.0	0.0	485.0	0.0	0.0	0.0	0.0	126.0	911.0	294.0	0.0	0.0	215.0	280.0	233.0	0.0	841.0	970.0	0.0	0.0	271.0	0.0	0.0	0.0	65.0	422.0	0.0	0.0	0.0	634.0	0.0	0.0	252.0	0.0	144.0	0.0	0.0	439.0	0.0	529.0	0.0	424.0	751.0	41.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	252.0	0.0	403.0	472.0	0.0	0.0	1347.0	110.0	0.0	451.0	140.0	0.0	184.0	0.0	0.0	233.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	728.0	0.0	97.0	0.0	0.0	17.0	719.0	0.0	0.0	62.0	455.0	0.0	0.0	0.0
